"id_col"	"ID_HOUSEHOLD"	"ID_FGD"	"NAME_ENG"	"NAME_SCIENT"	"Ventas_1"	"Ventas_2"	"Ventas_3"	"Part_Plant_1"	"Part_Plant_2"	"Part_Plant_3"	"Part_Plant_4"	"Part_Plant_5"	"Part_Plant_6"	"Part_Plant_7"	"Part_Plant_8"	"Part_Plant_9"	"Usos_1"	"Usos_2"	"Usos_3"	"Usos_4"	"Usos_6"	"Consumo_1"	"Consumo_2"	"Consumo_3"
"1"	"1"	401	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"2"	"2"	401	400	"Groundnut"	"Arachis hypogaea"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"3"	"3"	401	400	"Millet"	"Pennisetum glaucum"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"4"	"4"	401	400	"Sorghum"	"Sorghum bicolor"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"5"	"5"	401	400	"Cowpea"	"Vigna unguiculata"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"6"	"6"	401	400	"Bambara beans"	"Vigna subterranea"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"7"	"7"	402	400	"Millet"	"Pennisetum glaucum"	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"8"	"8"	402	400	"Yam"	"Dioscorea spp"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"9"	"9"	402	400	"Groundnut"	"Arachis hypogaea"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"10"	"10"	402	400	"Bambara beans"	"Vigna subterranea"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"11"	"11"	402	400	"Cowpea"	"Vigna unguiculata"	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"12"	"12"	402	400	"Sorghum"	"Sorghum bicolor"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"13"	"13"	403	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"14"	"14"	403	400	"Yam"	"Dioscorea spp"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"15"	"15"	403	400	"Groundnuts"	"Arachis hypogaea"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"16"	"16"	403	400	"Millet"	"Pennisetum glaucum"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"17"	"17"	403	400	"Rice"	"Oryza sativa"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"18"	"18"	403	400	"Sorghum"	"Sorghum bicolor"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"19"	"19"	404	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"20"	"20"	404	400	"Groundnuts"	"Arachis hypogaea"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"21"	"21"	404	400	"Millet"	"Pennisetum glaucum"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"22"	"22"	404	400	"Rice"	"Oryza sativa"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"23"	"23"	404	400	"Bambara beans"	"Vigna subterranea"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"24"	"24"	404	400	"Pepper"	"Capsicum annuum"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"25"	"25"	405	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"26"	"26"	405	400	"Groundnuts"	"Arachis hypogaea"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"27"	"27"	405	400	"Bambara beans"	"Vigna subterranea"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"28"	"28"	405	400	"Millet"	"Pennisetum glaucum"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"29"	"29"	405	400	"Rice"	"Oryza sativa"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"30"	"30"	405	400	"Cowpea"	"Vigna unguiculata"	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"31"	"31"	406	400	"Groundnuts"	"Arachis hypogaea"	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0
"32"	"32"	406	400	"Millet"	"Pennisetum glaucum"	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1
"33"	"33"	406	400	"Maize"	"Zea mays"	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
"34"	"34"	406	400	"Bean"	"Vigna unguiculata"	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
"35"	"35"	406	400	"Rice"	"Oryza sativa"	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"36"	"36"	407	400	"Millet"	"Pennisetum glaucum"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"37"	"37"	407	400	"Groundnuts"	"Arachis hypogaea"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"38"	"38"	407	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"39"	"39"	407	400	"Rice"	"Oryza sativa"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"40"	"40"	407	400	"Sweet Potato"	"Ipomoea batatas"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
"41"	"41"	407	400	"Yam"	"Dioscorea spp"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
"42"	"42"	408	400	"Groundnuts"	"Arachis hypogaea"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"43"	"43"	408	400	"Millet"	"Pennisetum glaucum"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"44"	"44"	408	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"45"	"45"	408	400	"Rice"	"Oryza sativa"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"46"	"46"	408	400	"Bambara beans"	"Vigna subterranea"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"47"	"47"	409	400	"Groundnuts"	"Arachis hypogaea"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"48"	"48"	409	400	"Millet"	"Pennisetum glaucum"	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"49"	"49"	409	400	"Bambara beans"	"Vigna subterranea"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"50"	"50"	409	400	"Maize"	"Zea mays"	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
"51"	"51"	409	400	"Cowpea"	"Vigna unguiculata"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"52"	"52"	409	400	"Rice"	"Oryza sativa"	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"53"	"53"	410	400	"Millet"	"Pennisetum glaucum"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"54"	"54"	410	400	"Yam"	"Dioscorea spp"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"55"	"55"	410	400	"Cowpea"	"Vigna unguiculata"	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"56"	"56"	410	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"57"	"57"	410	400	"Sorghum"	"Sorghum bicolor"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"58"	"58"	410	400	"Groundnuts"	"Arachis hypogaea"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"59"	"59"	411	400	"Millet"	"Pennisetum glaucum"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"60"	"60"	411	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"61"	"61"	411	400	"Bambara beans"	"Vigna subterranea"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"62"	"62"	411	400	"Groundnuts"	"Arachis hypogaea"	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"63"	"63"	411	400	"Rice"	"Oryza sativa"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"64"	"64"	411	400	"Yam"	"Dioscorea spp"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
"65"	"65"	412	400	"Millet"	"Pennisetum glaucum"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"66"	"66"	412	400	"Groundnuts"	"Arachis hypogaea"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"67"	"67"	412	400	"Bambara beans"	"Vigna subterranea"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"68"	"68"	412	400	"Cowpea"	"Vigna unguiculata"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"69"	"69"	412	400	"Yam"	"Dioscorea spp"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"70"	"70"	412	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"71"	"71"	413	400	"Groundnuts"	"Arachis hypogaea"	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
"72"	"72"	413	400	"Millet"	"Pennisetum glaucum"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"73"	"73"	413	400	"Cowpea"	"Vigna unguiculata"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"74"	"74"	413	400	"Maize"	"Zea mays"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"75"	"75"	413	400	"Bambara beans"	"Vigna subterranea"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"76"	"76"	413	400	"Maize"	"Zea mays"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"77"	"77"	414	400	"Millet"	"Pennisetum glaucum"	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"78"	"78"	414	400	"Cowpea"	"Vigna unguiculata"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
